data,atendente,supervisor,coordenador,operacao,cidade,estado,nome_indicador,numerador,denominador
2024-04-24,Atendente_12,Supervisor_1,Coordenador_1,Vendas,Porto Alegre,RJ,Atendidas,10,1
2024-04-24,Atendente_12,Supervisor_1,Coordenador_1,Vendas,Porto Alegre,RJ,TMA,493,18
2024-04-24,Atendente_12,Supervisor_1,Coordenador_1,Vendas,Porto Alegre,RJ,CSAT,2,1
2024-03-28,Atendente_9,Supervisor_2,Coordenador_1,Vendas,Curitiba,RJ,Atendidas,7,1
2024-03-28,Atendente_9,Supervisor_2,Coordenador_1,Vendas,Curitiba,RJ,TMA,586,15
2024-03-28,Atendente_9,Supervisor_2,Coordenador_1,Vendas,Curitiba,RJ,CSAT,1,1
2024-07-15,Atendente_19,Supervisor_1,Coordenador_1,Suporte Técnico,Porto Alegre,RJ,Atendidas,44,1
2024-07-15,Atendente_19,Supervisor_1,Coordenador_1,Suporte Técnico,Porto Alegre,RJ,TMA,113,25
2024-07-15,Atendente_19,Supervisor_1,Coordenador_1,Suporte Técnico,Porto Alegre,RJ,CSAT,24,6
2024-05-29,Atendente_16,Supervisor_3,Coordenador_2,Vendas,Porto Alegre,RJ,Atendidas,48,1
2024-05-29,Atendente_16,Supervisor_3,Coordenador_2,Vendas,Porto Alegre,RJ,TMA,497,25
2024-05-29,Atendente_16,Supervisor_3,Coordenador_2,Vendas,Porto Alegre,RJ,CSAT,3,2
2024-07-18,Atendente_7,Supervisor_1,Coordenador_1,Cobrança,Belo Horizonte,MG,Atendidas,10,1
2024-07-18,Atendente_7,Supervisor_1,Coordenador_1,Cobrança,Belo Horizonte,MG,TMA,225,19
2024-07-18,Atendente_7,Supervisor_1,Coordenador_1,Cobrança,Belo Horizonte,MG,CSAT,4,1
2024-04-30,Atendente_12,Supervisor_4,Coordenador_2,SAC,Belo Horizonte,PR,Atendidas,18,1
2024-04-30,Atendente_12,Supervisor_4,Coordenador_2,SAC,Belo Horizonte,PR,TMA,248,17
2024-04-30,Atendente_12,Supervisor_4,Coordenador_2,SAC,Belo Horizonte,PR,CSAT,20,6
2024-02-03,Atendente_18,Supervisor_1,Coordenador_1,SAC,Belo Horizonte,SP,Atendidas,37,1
2024-02-03,Atendente_18,Supervisor_1,Coordenador_1,SAC,Belo Horizonte,SP,TMA,210,34
2024-02-03,Atendente_18,Supervisor_1,Coordenador_1,SAC,Belo Horizonte,SP,CSAT,7,3
2024-04-03,Atendente_2,Supervisor_1,Coordenador_2,Suporte Técnico,São Paulo,MG,Atendidas,24,1
2024-04-03,Atendente_2,Supervisor_1,Coordenador_2,Suporte Técnico,São Paulo,MG,TMA,160,27
2024-04-03,Atendente_2,Supervisor_1,Coordenador_2,Suporte Técnico,São Paulo,MG,CSAT,19,4
2024-06-26,Atendente_10,Supervisor_3,Coordenador_1,SAC,São Paulo,PR,Atendidas,40,1
2024-06-26,Atendente_10,Supervisor_3,Coordenador_1,SAC,São Paulo,PR,TMA,498,41
2024-06-26,Atendente_10,Supervisor_3,Coordenador_1,SAC,São Paulo,PR,CSAT,23,5
2024-02-26,Atendente_4,Supervisor_4,Coordenador_1,Vendas,São Paulo,MG,Atendidas,24,1
2024-02-26,Atendente_4,Supervisor_4,Coordenador_1,Vendas,São Paulo,MG,TMA,354,49
2024-02-26,Atendente_4,Supervisor_4,Coordenador_1,Vendas,São Paulo,MG,CSAT,7,5
2024-05-25,Atendente_5,Supervisor_5,Coordenador_2,Suporte Técnico,Belo Horizonte,MG,Atendidas,20,1
2024-05-25,Atendente_5,Supervisor_5,Coordenador_2,Suporte Técnico,Belo Horizonte,MG,TMA,388,48
2024-05-25,Atendente_5,Supervisor_5,Coordenador_2,Suporte Técnico,Belo Horizonte,MG,CSAT,14,4
2024-06-23,Atendente_17,Supervisor_2,Coordenador_2,Suporte Técnico,Porto Alegre,RS,Atendidas,24,1
2024-06-23,Atendente_17,Supervisor_2,Coordenador_2,Suporte Técnico,Porto Alegre,RS,TMA,391,43
2024-06-23,Atendente_17,Supervisor_2,Coordenador_2,Suporte Técnico,Porto Alegre,RS,CSAT,24,5
2024-03-24,Atendente_19,Supervisor_1,Coordenador_1,Cobrança,Belo Horizonte,MG,Atendidas,34,1
2024-03-24,Atendente_19,Supervisor_1,Coordenador_1,Cobrança,Belo Horizonte,MG,TMA,230,28
2024-03-24,Atendente_19,Supervisor_1,Coordenador_1,Cobrança,Belo Horizonte,MG,CSAT,17,5
2024-07-27,Atendente_3,Supervisor_3,Coordenador_2,Cobrança,Porto Alegre,SP,Atendidas,28,1
2024-07-27,Atendente_3,Supervisor_3,Coordenador_2,Cobrança,Porto Alegre,SP,TMA,396,30
2024-07-27,Atendente_3,Supervisor_3,Coordenador_2,Cobrança,Porto Alegre,SP,CSAT,14,5
2024-07-09,Atendente_20,Supervisor_1,Coordenador_2,Suporte Técnico,Rio de Janeiro,PR,Atendidas,35,1
2024-07-09,Atendente_20,Supervisor_1,Coordenador_2,Suporte Técnico,Rio de Janeiro,PR,TMA,337,19
2024-07-09,Atendente_20,Supervisor_1,Coordenador_2,Suporte Técnico,Rio de Janeiro,PR,CSAT,18,6
2024-07-02,Atendente_12,Supervisor_4,Coordenador_1,Suporte Técnico,Belo Horizonte,RJ,Atendidas,5,1
2024-07-02,Atendente_12,Supervisor_4,Coordenador_1,Suporte Técnico,Belo Horizonte,RJ,TMA,344,5
2024-07-02,Atendente_12,Supervisor_4,Coordenador_1,Suporte Técnico,Belo Horizonte,RJ,CSAT,33,7
2024-07-09,Atendente_3,Supervisor_2,Coordenador_1,Vendas,Rio de Janeiro,RS,Atendidas,25,1
2024-07-09,Atendente_3,Supervisor_2,Coordenador_1,Vendas,Rio de Janeiro,RS,TMA,594,39
2024-07-09,Atendente_3,Supervisor_2,Coordenador_1,Vendas,Rio de Janeiro,RS,CSAT,1,1
